Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (₹ Cr)
18-JUL-2016,8723.75,8743.5,8649.75,8662.55,277134837.0,10846.82
19-JUL-2016,8669.4,8695.2,8628.4,8684.35,305199536.0,11109.74
20-JUL-2016,8675.45,8730.65,8675.45,8727.1,293702224.0,10950.87
21-JUL-2016,8749.75,8750.4,8675.2,8680.85,303375575.0,11105.3
22-JUL-2016,8692.8,8729.2,8661.9,8725.3,317441053.0,10089.79
25-JUL-2016,8711.3,8825.55,8711.05,8821.55,322301356.0,12015.62
26-JUL-2016,8822.3,8838.9,8768.3,8781.5,302073481.0,12903.34
27-JUL-2016,8794.15,8852.7,8763.4,8811.75,323899586.0,15109.84
28-JUL-2016,8831.85,8868.95,8820.25,8860.5,440320877.0,18432.57
29-JUL-2016,8865.15,8874.5,8832.65,8839.0,306255007.0,12689.92
01-AUG-2016,8859.25,8917.45,8790.35,8841.45,339234138.0,13744.17
02-AUG-2016,8855.25,8892.3,8811.2,8819.95,317871032.0,12726.22
03-AUG-2016,8834.65,8834.65,8713.15,8727.95,282622282.0,12141.21
04-AUG-2016,8785.25,8787.35,8701.9,8741.85,287942087.0,10974.43
05-AUG-2016,8792.15,8887.5,8789.7,8881.9,297896393.0,11838.22
08-AUG-2016,8914.25,8931.8,8898.1,8921.0,285744676.0,11786.52
09-AUG-2016,8937.55,8938.05,8844.95,8883.65,312871458.0,12332.3
10-AUG-2016,8892.5,8894.65,8760.8,8771.4,307668393.0,12039.63
11-AUG-2016,8770.0,8798.85,8727.5,8789.7,314320416.0,12239.97
12-AUG-2016,8802.85,8881.85,8802.85,8871.5,387266149.0,15232.19
16-AUG-2016,8873.9,8890.2,8809.2,8853.05,343328079.0,14055.52
17-AUG-2016,8851.85,8883.85,8821.75,8846.85,292839699.0,10824.36
18-AUG-2016,8871.45,8908.9,8871.45,8894.85,273985207.0,10419.17
19-AUG-2016,8916.9,8916.9,8871.25,8893.0,330071760.0,11048.9
22-AUG-2016,8893.45,8910.45,8837.8,8851.95,255164796.0,9587.9
22-AUG-2016,8893.45,8910.45,8837.8,8851.95,255164796.0,9587.9
23-AUG-2016,8850.9,8854.25,8793.95,8846.55,295341641.0,10050.26
24-AUG-2016,8862.75,8884.35,8846.25,8874.55,240930345.0,10024.13
25-AUG-2016,8894.25,8909.4,8809.2,8816.7,346804998.0,14558.73
26-AUG-2016,8840.35,8851.95,8779.25,8803.9,259904013.0,9613.32
29-AUG-2016,8814.65,8847.55,8773.1,8835.15,228858454.0,9132.25
